County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US
"Grainger County, Tennessee",47057,Urban,14.1,2420,"2747 of 3143"
"Crisp County, Georgia",13081,Rural,14.1,1925,"2748 of 3143"
"Martin County, Indiana",18101,Rural,14.1,967,"2749 of 3143"
"Elbert County, Georgia",13105,Rural,14.1,1958,"2750 of 3143"
"DeWitt County, Texas",48123,Rural,14.1,1961,"2751 of 3143"
"Pulaski County, Indiana",18131,Rural,14.1,1222,"2752 of 3143"
"Madison County, Texas",48313,Rural,14.0,1305,"2753 of 3143"
"Pushmataha County, Oklahoma",40127,Rural,14.0,1090,"2754 of 3143"
"Lander County, Nevada",32015,Rural,14.0,541,"2755 of 3143"
"Crosby County, Texas",48107,Urban,14.0,479,"2756 of 3143"
"Brown County, Illinois",17009,Rural,14.0,646,"2757 of 3143"
"Fulton County, Kentucky",21075,Rural,14.0,641,"2758 of 3143"
"Madison Parish, Louisiana",22065,Rural,14.0,911,"2759 of 3143"
"Guadalupe County, New Mexico",35019,Rural,14.0,476,"2760 of 3143"
"Clinton County, Kentucky",21053,Rural,14.0,923,"2761 of 3143"
"Early County, Georgia",13099,Rural,14.0,959,"2762 of 3143"
"Marshall County, Mississippi",28093,Urban,14.0,3315,"2763 of 3143"
"Tattnall County, Georgia",13267,Rural,14.0,2372,"2764 of 3143"
"Chilton County, Alabama",01021,Urban,14.0,4277,"2765 of 3143"
"Pike County, Ohio",39131,Rural,14.0,2602,"2766 of 3143"
"Red River County, Texas",48387,Rural,14.0,1183,"2767 of 3143"
"Warren County, Tennessee",47177,Rural,14.0,3949,"2768 of 3143"
"Echols County, Georgia",13101,Urban,14.0,317,"2769 of 3143"
"Nolan County, Texas",48353,Rural,14.0,1330,"2770 of 3143"
"Graham County, Arizona",04009,Rural,14.0,3399,"2771 of 3143"
"Orange County, Indiana",18117,Rural,13.9,1916,"2772 of 3143"
"Union County, South Carolina",45087,Urban,13.9,2705,"2773 of 3143"
"Jackson County, Tennessee",47087,Rural,13.9,1221,"2774 of 3143"
"Taylor County, Florida",12123,Rural,13.9,2207,"2775 of 3143"
"Owyhee County, Idaho",16073,Urban,13.9,1114,"2776 of 3143"
"Geneva County, Alabama",01061,Urban,13.9,2641,"2777 of 3143"
"Butler County, Missouri",29023,Rural,13.9,4031,"2778 of 3143"
"Lawrence County, Mississippi",28077,Rural,13.9,1124,"2779 of 3143"
"Edwards County, Illinois",17047,Rural,13.9,603,"2780 of 3143"
"Overton County, Tennessee",47133,Rural,13.9,2216,"2781 of 3143"
"Scott County, Virginia",51169,Urban,13.9,2243,"2782 of 3143"
"Jackson County, Florida",12063,Rural,13.9,4837,"2783 of 3143"
"Bates County, Missouri",29013,Urban,13.9,1536,"2784 of 3143"
"Morgan County, Missouri",29141,Rural,13.9,2071,"2785 of 3143"
"Chester County, South Carolina",45023,Urban,13.9,3109,"2786 of 3143"
"Henderson County, Tennessee",47077,Rural,13.8,2666,"2787 of 3143"
"Sullivan County, Indiana",18153,Urban,13.8,2072,"2788 of 3143"
"Shelby County, Texas",48419,Rural,13.8,2199,"2789 of 3143"
"Wayne County, Kentucky",21231,Rural,13.8,1940,"2790 of 3143"
"Winston County, Alabama",01133,Rural,13.8,2350,"2791 of 3143"
"Graham County, North Carolina",37075,Rural,13.8,803,"2792 of 3143"
"Howard County, Texas",48227,Rural,13.8,3292,"2793 of 3143"
"Yell County, Arkansas",05149,Rural,13.8,1913,"2794 of 3143"
"Apache County, Arizona",04001,Rural,13.8,5819,"2795 of 3143"
"Oscoda County, Michigan",26135,Rural,13.8,849,"2796 of 3143"
"Clarke County, Alabama",01025,Rural,13.8,2205,"2797 of 3143"
"Zavala County, Texas",48507,Rural,13.8,801,"2798 of 3143"
"Randolph County, Illinois",17157,Rural,13.7,3014,"2799 of 3143"
"Fayette County, Ohio",39047,Rural,13.7,2720,"2800 of 3143"
"Marion County, South Carolina",45067,Rural,13.7,2785,"2801 of 3143"
"Mahnomen County, Minnesota",27087,Rural,13.7,444,"2802 of 3143"
"Acadia Parish, Louisiana",22001,Urban,13.7,5217,"2803 of 3143"
"Treutlen County, Georgia",13283,Rural,13.7,594,"2804 of 3143"
"Mississippi County, Missouri",29133,Rural,13.7,1185,"2805 of 3143"
"Trimble County, Kentucky",21223,Rural,13.7,822,"2806 of 3143"
"Dunklin County, Missouri",29069,Rural,13.6,2541,"2807 of 3143"
"Wilcox County, Georgia",13315,Rural,13.6,884,"2808 of 3143"
"Roane County, West Virginia",54087,Rural,13.6,1377,"2809 of 3143"
"McIntosh County, Oklahoma",40091,Rural,13.6,1912,"2810 of 3143"
"Schleicher County, Texas",48413,Rural,13.6,225,"2811 of 3143"
"Crawford County, Missouri",29055,Rural,13.6,2197,"2812 of 3143"
"Live Oak County, Texas",48297,Rural,13.6,1122,"2813 of 3143"
"Grundy County, Tennessee",47061,Rural,13.6,1304,"2814 of 3143"
"Green County, Kentucky",21087,Rural,13.5,1092,"2815 of 3143"
"Morris County, Texas",48343,Rural,13.5,1102,"2816 of 3143"
"White County, Tennessee",47185,Rural,13.5,2629,"2817 of 3143"
"Monroe County, Alabama",01099,Rural,13.5,1852,"2818 of 3143"
"Donley County, Texas",48129,Rural,13.5,291,"2819 of 3143"
"Dawson County, Texas",48115,Rural,13.5,1060,"2820 of 3143"
"Fountain County, Indiana",18045,Rural,13.5,1566,"2821 of 3143"
"Falls County, Texas",48145,Urban,13.5,1564,"2822 of 3143"
"Marion County, Ohio",39101,Rural,13.5,6212,"2823 of 3143"
"Carroll County, Ohio",39019,Urban,13.5,2585,"2824 of 3143"
"Assumption Parish, Louisiana",22007,Urban,13.4,1987,"2825 of 3143"
"Wetzel County, West Virginia",54103,Rural,13.4,1385,"2826 of 3143"
"Greensville County, Virginia",51081,Rural,13.4,1156,"2827 of 3143"
"Newton County, Indiana",18111,Urban,13.4,1326,"2828 of 3143"
"Craig County, Oklahoma",40035,Rural,13.4,1330,"2829 of 3143"
"Noxubee County, Mississippi",28103,Rural,13.4,892,"2830 of 3143"
"Carlisle County, Kentucky",21039,Urban,13.3,442,"2831 of 3143"
"Putnam County, Florida",12107,Rural,13.3,7016,"2832 of 3143"
"Polk County, Tennessee",47139,Urban,13.3,1717,"2833 of 3143"
"Dallas County, Missouri",29059,Urban,13.3,1588,"2834 of 3143"
"Conecuh County, Alabama",01035,Rural,13.3,1116,"2835 of 3143"
"Sabine Parish, Louisiana",22085,Rural,13.3,2012,"2836 of 3143"
"Muhlenberg County, Kentucky",21177,Rural,13.3,2921,"2837 of 3143"
"White Pine County, Nevada",32033,Rural,13.3,895,"2838 of 3143"
"Kinney County, Texas",48271,Rural,13.3,337,"2839 of 3143"
"Garza County, Texas",48169,Urban,13.3,552,"2840 of 3143"
"Winn Parish, Louisiana",22127,Rural,13.3,1302,"2841 of 3143"
"Logan County, West Virginia",54045,Rural,13.3,3090,"2842 of 3143"
"St. Francis County, Arkansas",05123,Rural,13.3,2161,"2843 of 3143"
"Grayson County, Kentucky",21085,Rural,13.3,2389,"2844 of 3143"
"Perry County, Kentucky",21193,Rural,13.2,2591,"2845 of 3143"
"Grant County, West Virginia",54023,Rural,13.2,1079,"2846 of 3143"
"Livingston County, Kentucky",21139,Urban,13.2,864,"2847 of 3143"
"Polk County, Texas",48373,Rural,13.2,4817,"2848 of 3143"
"Bradford County, Florida",12007,Rural,13.2,2653,"2849 of 3143"
"Mifflin County, Pennsylvania",42087,Rural,13.2,4258,"2850 of 3143"
"Meriwether County, Georgia",13199,Urban,13.1,1936,"2851 of 3143"
"Noble County, Ohio",39121,Rural,13.1,1416,"2852 of 3143"
"Clark County, Wisconsin",55019,Rural,13.1,2828,"2853 of 3143"
"Starke County, Indiana",18149,Rural,13.1,2123,"2854 of 3143"
"Anderson County, Texas",48001,Rural,13.1,5564,"2855 of 3143"
"Tyler County, Texas",48457,Rural,13.1,1895,"2856 of 3143"
"Jerome County, Idaho",16053,Urban,13.1,1968,"2857 of 3143"
"Letcher County, Kentucky",21133,Rural,13.1,2013,"2858 of 3143"
"Gonzales County, Texas",48177,Rural,13.1,1669,"2859 of 3143"
"Union County, Tennessee",47173,Urban,13.1,1840,"2860 of 3143"
"Desha County, Arkansas",05041,Rural,13.1,1005,"2861 of 3143"
"Butts County, Georgia",13035,Urban,13.1,2337,"2862 of 3143"
"Floyd County, Kentucky",21071,Rural,13.1,3287,"2863 of 3143"
"Butler County, Alabama",01013,Rural,13.0,1731,"2864 of 3143"
"Choctaw County, Alabama",01023,Rural,13.0,1181,"2865 of 3143"
"Dooly County, Georgia",13093,Rural,13.0,1116,"2866 of 3143"
"Dallas County, Arkansas",05039,Rural,13.0,609,"2867 of 3143"
"New Madrid County, Missouri",29143,Rural,13.0,1459,"2868 of 3143"
"Jackson County, Texas",48239,Rural,13.0,1311,"2869 of 3143"
"Gallatin County, Kentucky",21077,Urban,13.0,767,"2870 of 3143"
"Fayette County, Alabama",01057,Rural,13.0,1486,"2871 of 3143"
"Glades County, Florida",12043,Rural,13.0,1242,"2872 of 3143"
"Terrell County, Georgia",13273,Urban,13.0,789,"2873 of 3143"
"Long County, Georgia",13183,Urban,13.0,1400,"2874 of 3143"
"Madison County, Florida",12079,Rural,13.0,1776,"2875 of 3143"
"Lawrence County, Arkansas",05075,Rural,12.9,1418,"2876 of 3143"
"Campbell County, Tennessee",47013,Urban,12.9,3677,"2877 of 3143"
"Jay County, Indiana",18075,Rural,12.9,1759,"2878 of 3143"
"Glascock County, Georgia",13125,Rural,12.9,257,"2879 of 3143"
"Clark County, Missouri",29045,Rural,12.9,595,"2880 of 3143"
"Coffee County, Georgia",13069,Rural,12.9,3683,"2881 of 3143"
"Pulaski County, Georgia",13235,Rural,12.9,948,"2882 of 3143"
"Clinch County, Georgia",13065,Rural,12.9,581,"2883 of 3143"
"Lamb County, Texas",48279,Rural,12.9,1059,"2884 of 3143"
"Chesterfield County, South Carolina",45025,Rural,12.9,3918,"2885 of 3143"
"Morehouse Parish, Louisiana",22067,Urban,12.9,2236,"2886 of 3143"
"Wright County, Missouri",29229,Rural,12.8,1565,"2887 of 3143"
"Marion County, Kentucky",21155,Rural,12.8,1715,"2888 of 3143"
"Jackson Parish, Louisiana",22049,Rural,12.8,1382,"2889 of 3143"
"Colfax County, Nebraska",31037,Rural,12.8,846,"2890 of 3143"
"Latimer County, Oklahoma",40077,Rural,12.8,837,"2891 of 3143"
"San Augustine County, Texas",48405,Rural,12.8,747,"2892 of 3143"
"Clay County, Alabama",01027,Rural,12.8,1283,"2893 of 3143"
"Jim Hogg County, Texas",48247,Rural,12.8,311,"2894 of 3143"
"Wheeler County, Georgia",13309,Rural,12.8,611,"2895 of 3143"
"Crowley County, Colorado",08025,Rural,12.7,534,"2896 of 3143"
"Chambers County, Alabama",01017,Rural,12.7,3146,"2897 of 3143"
"Starr County, Texas",48427,Rural,12.7,4647,"2898 of 3143"
"Clarke County, Mississippi",28023,Rural,12.7,1364,"2899 of 3143"
"Clay County, West Virginia",54015,Urban,12.6,707,"2900 of 3143"
"Escambia County, Alabama",01053,Rural,12.6,3197,"2901 of 3143"
"Russell County, Virginia",51167,Rural,12.6,2398,"2902 of 3143"
"Bradley County, Arkansas",05011,Rural,12.5,891,"2903 of 3143"
"Nye County, Nevada",32023,Rural,12.5,5063,"2904 of 3143"
"Calhoun County, Arkansas",05013,Rural,12.5,434,"2905 of 3143"
"Stevens County, Kansas",20189,Rural,12.5,408,"2906 of 3143"
"Okfuskee County, Oklahoma",40107,Rural,12.5,983,"2907 of 3143"
"Crittenden County, Kentucky",21055,Rural,12.5,791,"2908 of 3143"
"Morgan County, Tennessee",47129,Urban,12.5,1908,"2909 of 3143"
"Hickman County, Tennessee",47081,Urban,12.4,2226,"2910 of 3143"
"McKinley County, New Mexico",35031,Rural,12.4,5614,"2911 of 3143"
"Randolph County, Georgia",13243,Rural,12.4,526,"2912 of 3143"
"Gallatin County, Illinois",17059,Rural,12.4,456,"2913 of 3143"
"Washington County, Florida",12133,Urban,12.4,2261,"2914 of 3143"
"La Paz County, Arizona",04012,Rural,12.4,1633,"2915 of 3143"
"Bienville Parish, Louisiana",22013,Rural,12.4,1129,"2916 of 3143"
"St. Clair County, Missouri",29185,Rural,12.4,844,"2917 of 3143"
"Schuyler County, Missouri",29197,Rural,12.4,331,"2918 of 3143"
"Yalobusha County, Mississippi",28161,Rural,12.3,1106,"2919 of 3143"
"St. Mary Parish, Louisiana",22101,Rural,12.3,4159,"2920 of 3143"
"Ritchie County, West Virginia",54085,Rural,12.3,768,"2921 of 3143"
"Madison County, Arkansas",05087,Urban,12.3,1435,"2922 of 3143"
"Clay County, Tennessee",47027,Rural,12.3,678,"2923 of 3143"
"Franklin County, Arkansas",05047,Rural,12.3,1479,"2924 of 3143"
"Mitchell County, Georgia",13205,Rural,12.3,1805,"2925 of 3143"
"Avoyelles Parish, Louisiana",22009,Rural,12.3,3302,"2926 of 3143"
"Washington County, Missouri",29221,Rural,12.3,2004,"2927 of 3143"
"Jasper County, Texas",48241,Rural,12.2,2791,"2928 of 3143"
"Tyrrell County, North Carolina",37177,Rural,12.2,311,"2929 of 3143"
"Candler County, Georgia",13043,Rural,12.2,895,"2930 of 3143"
"Crawford County, Indiana",18025,Rural,12.2,918,"2931 of 3143"
"Evangeline Parish, Louisiana",22039,Rural,12.2,2563,"2932 of 3143"
"Casey County, Kentucky",21045,Rural,12.2,1350,"2933 of 3143"
"Ben Hill County, Georgia",13017,Rural,12.2,1403,"2934 of 3143"
"Robertson County, Kentucky",21201,Rural,12.2,186,"2935 of 3143"
"Marion County, Georgia",13197,Urban,12.2,657,"2936 of 3143"
"Clare County, Michigan",26035,Rural,12.2,2770,"2937 of 3143"
"Haywood County, Tennessee",47075,Rural,12.2,1518,"2938 of 3143"
"Buckingham County, Virginia",51029,Rural,12.2,1531,"2939 of 3143"
"Lake County, Michigan",26085,Rural,12.2,1172,"2940 of 3143"
"Wayne County, Tennessee",47181,Rural,12.2,1485,"2941 of 3143"
"Charlton County, Georgia",13049,Rural,12.1,1092,"2942 of 3143"
"Lassen County, California",06035,Rural,12.1,2872,"2943 of 3143"
"Pleasants County, West Virginia",54073,Rural,12.1,655,"2944 of 3143"
"Wilkinson County, Georgia",13319,Rural,12.1,738,"2945 of 3143"
"Caldwell Parish, Louisiana",22021,Rural,12.1,829,"2946 of 3143"
"Allen Parish, Louisiana",22003,Rural,12.0,1911,"2947 of 3143"
"Rockcastle County, Kentucky",21203,Rural,12.0,1384,"2948 of 3143"
"Scott County, Arkansas",05127,Rural,12.0,832,"2949 of 3143"
"Grant Parish, Louisiana",22043,Urban,12.0,1891,"2950 of 3143"
"Hardin County, Illinois",17069,Rural,12.0,359,"2951 of 3143"
"St. Helena Parish, Louisiana",22091,Urban,12.0,894,"2952 of 3143"
"Doddridge County, West Virginia",54017,Rural,12.0,727,"2953 of 3143"
"Reagan County, Texas",48383,Rural,12.0,238,"2954 of 3143"
"Calhoun County, Mississippi",28013,Rural,12.0,1099,"2955 of 3143"
"Mellette County, South Dakota",46095,Rural,11.9,149,"2956 of 3143"
"Barbour County, Alabama",01005,Rural,11.9,2100,"2957 of 3143"
"Dillon County, South Carolina",45033,Rural,11.9,2220,"2958 of 3143"
"Yazoo County, Mississippi",28163,Urban,11.9,2301,"2959 of 3143"
"Luna County, New Mexico",35029,Rural,11.9,1953,"2960 of 3143"
"Ripley County, Missouri",29181,Rural,11.9,892,"2961 of 3143"
"Jackson County, Arkansas",05067,Rural,11.9,1414,"2962 of 3143"
"Moore County, Texas",48341,Rural,11.8,1486,"2963 of 3143"
"McDonald County, Missouri",29119,Rural,11.8,1842,"2964 of 3143"
"Deaf Smith County, Texas",48117,Rural,11.8,1281,"2965 of 3143"
"Marion County, Alabama",01093,Rural,11.8,2459,"2966 of 3143"
"East Carroll Parish, Louisiana",22035,Rural,11.8,570,"2967 of 3143"
"Barbour County, West Virginia",54001,Rural,11.8,1248,"2968 of 3143"
"Braxton County, West Virginia",54007,Rural,11.7,1091,"2969 of 3143"
"Cocke County, Tennessee",47029,Rural,11.7,3081,"2970 of 3143"
"Washington Parish, Louisiana",22117,Rural,11.7,3671,"2971 of 3143"
"Bollinger County, Missouri",29017,Urban,11.7,891,"2972 of 3143"
"Harrison County, Ohio",39067,Rural,11.7,1230,"2973 of 3143"
"Tallahatchie County, Mississippi",28135,Rural,11.7,1018,"2974 of 3143"
"Sevier County, Arkansas",05133,Rural,11.7,1145,"2975 of 3143"
"Boone County, West Virginia",54005,Urban,11.7,1806,"2976 of 3143"
"Bell County, Kentucky",21013,Rural,11.7,1981,"2977 of 3143"
"Claiborne Parish, Louisiana",22027,Rural,11.7,1207,"2978 of 3143"
"Shoshone County, Idaho",16079,Rural,11.6,1130,"2979 of 3143"
"Pemiscot County, Missouri",29155,Rural,11.6,1197,"2980 of 3143"
"Wilcox County, Alabama",01131,Rural,11.6,821,"2981 of 3143"
"Emanuel County, Georgia",13107,Rural,11.6,1773,"2982 of 3143"
"Heard County, Georgia",13149,Urban,11.6,911,"2983 of 3143"
"DeSoto County, Florida",12027,Rural,11.6,2900,"2984 of 3143"
"Forest County, Pennsylvania",42053,Rural,11.6,662,"2985 of 3143"
"Ashley County, Arkansas",05003,Rural,11.6,1531,"2986 of 3143"
"Hampton County, South Carolina",45049,Rural,11.6,1527,"2987 of 3143"
"Concho County, Texas",48095,Rural,11.6,286,"2988 of 3143"
"Leslie County, Kentucky",21131,Rural,11.6,835,"2989 of 3143"
"Poinsett County, Arkansas",05111,Urban,11.5,1804,"2990 of 3143"
"Kimball County, Nebraska",31105,Rural,11.5,289,"2991 of 3143"
"Scott County, Indiana",18143,Rural,11.5,1958,"2992 of 3143"
"Lee County, Virginia",51105,Rural,11.5,1917,"2993 of 3143"
"Sharp County, Arkansas",05135,Rural,11.5,1452,"2994 of 3143"
"Jeff Davis County, Georgia",13161,Rural,11.5,1118,"2995 of 3143"
"Webster County, West Virginia",54101,Rural,11.5,711,"2996 of 3143"
"Meigs County, Tennessee",47121,Rural,11.5,1072,"2997 of 3143"
"Bee County, Texas",48025,Rural,11.5,2483,"2998 of 3143"
"Meigs County, Ohio",39105,Rural,11.5,1816,"2999 of 3143"
"Pecos County, Texas",48371,Rural,11.5,1180,"3000 of 3143"
"Sioux County, North Dakota",38085,Rural,11.5,236,"3001 of 3143"
"Wilkinson County, Mississippi",28157,Rural,11.5,705,"3002 of 3143"
"Taliaferro County, Georgia",13265,Rural,11.5,149,"3003 of 3143"
"McNairy County, Tennessee",47109,Rural,11.5,2095,"3004 of 3143"
"Greene County, North Carolina",37079,Rural,11.5,1673,"3005 of 3143"
"Webster County, Kentucky",21233,Rural,11.5,1008,"3006 of 3143"
"West Carroll Parish, Louisiana",22123,Rural,11.4,782,"3007 of 3143"
"Edmonson County, Kentucky",21061,Urban,11.4,1029,"3008 of 3143"
"Dickenson County, Virginia",51051,Rural,11.4,1186,"3009 of 3143"
"Wyoming County, West Virginia",54109,Rural,11.4,1765,"3010 of 3143"
"Houston County, Tennessee",47083,Rural,11.4,663,"3011 of 3143"
"Covington City, Virginia",51580,Rural,11.4,455,"3012 of 3143"
"Anson County, North Carolina",37007,Urban,11.4,1798,"3013 of 3143"
"Calhoun County, Georgia",13037,Rural,11.4,479,"3014 of 3143"
"Greene County, Mississippi",28041,Rural,11.4,1138,"3015 of 3143"
"Atkinson County, Georgia",13003,Rural,11.4,621,"3016 of 3143"
"Murray County, Georgia",13213,Urban,11.4,3069,"3017 of 3143"
"Zapata County, Texas",48505,Rural,11.3,898,"3018 of 3143"
"Ward County, Texas",48475,Rural,11.3,815,"3019 of 3143"
"Butler County, Kentucky",21031,Urban,11.3,979,"3020 of 3143"
"Morrow County, Oregon",41049,Rural,11.3,871,"3021 of 3143"
"Seward County, Kansas",20175,Rural,11.3,1440,"3022 of 3143"
"Chickasaw County, Mississippi",28017,Rural,11.3,1293,"3023 of 3143"
"Crawford County, Georgia",13079,Urban,11.3,961,"3024 of 3143"
"Marion County, Mississippi",28091,Rural,11.3,1879,"3025 of 3143"
"LaGrange County, Indiana",18087,Rural,11.2,2643,"3026 of 3143"
"Refugio County, Texas",48391,Rural,11.2,527,"3027 of 3143"
"Lincoln County, Idaho",16063,Rural,11.2,382,"3028 of 3143"
"Morgan County, Ohio",39115,Rural,11.2,1114,"3029 of 3143"
"Jackson County, Kentucky",21109,Rural,11.2,1012,"3030 of 3143"
"Jones County, Texas",48253,Urban,11.2,1635,"3031 of 3143"
"Estill County, Kentucky",21065,Rural,11.1,1123,"3032 of 3143"
"Lunenburg County, Virginia",51111,Rural,11.1,977,"3033 of 3143"
"Benton County, Tennessee",47005,Rural,11.1,1287,"3034 of 3143"
"Hopewell City, Virginia",51670,Urban,11.1,1666,"3035 of 3143"
"Owsley County, Kentucky",21189,Rural,11.1,335,"3036 of 3143"
"Scott County, Mississippi",28123,Urban,11.1,1975,"3037 of 3143"
"Calhoun County, Florida",12013,Rural,11.1,1112,"3038 of 3143"
"Holmes County, Ohio",39075,Rural,11.1,2911,"3039 of 3143"
"Warren County, Georgia",13301,Rural,11.1,408,"3040 of 3143"
"Wayne County, Missouri",29223,Rural,11.1,911,"3041 of 3143"
"Terry County, Texas",48445,Rural,11.0,811,"3042 of 3143"
"Holmes County, Florida",12059,Rural,11.0,1554,"3043 of 3143"
"Benton County, Mississippi",28009,Urban,11.0,596,"3044 of 3143"
"Quitman County, Georgia",13239,Rural,10.9,185,"3045 of 3143"
"Perry County, Illinois",17145,Rural,10.9,1662,"3046 of 3143"
"Nevada County, Arkansas",05099,Rural,10.9,619,"3047 of 3143"
"Buchanan County, Virginia",51027,Rural,10.9,1689,"3048 of 3143"
"Bibb County, Alabama",01007,Urban,10.9,1739,"3049 of 3143"
"Bacon County, Georgia",13005,Rural,10.9,799,"3050 of 3143"
"Magoffin County, Kentucky",21153,Rural,10.9,892,"3051 of 3143"
"Cameron County, Pennsylvania",42023,Rural,10.9,378,"3052 of 3143"
"Lawrence County, Kentucky",21127,Urban,10.9,1210,"3053 of 3143"
"Adair County, Oklahoma",40001,Rural,10.9,1388,"3054 of 3143"
"Yakutat City and Borough, Alaska",02282,Rural,10.8,43,"3055 of 3143"
"Lake County, Tennessee",47095,Rural,10.8,570,"3056 of 3143"
"Switzerland County, Indiana",18155,Rural,10.8,731,"3057 of 3143"
"Jefferson County, Georgia",13163,Rural,10.8,1141,"3058 of 3143"
"Martin County, Kentucky",21159,Rural,10.8,893,"3059 of 3143"
"Perry County, Mississippi",28111,Urban,10.8,835,"3060 of 3143"
"Allendale County, South Carolina",45005,Rural,10.8,611,"3061 of 3143"
"Menifee County, Kentucky",21165,Rural,10.8,473,"3062 of 3143"
"Perry County, Tennessee",47135,Rural,10.7,621,"3063 of 3143"
"Monroe County, Ohio",39111,Rural,10.7,1037,"3064 of 3143"
"Twiggs County, Georgia",13289,Urban,10.6,642,"3065 of 3143"
"Red River Parish, Louisiana",22081,Rural,10.6,542,"3066 of 3143"
"Coosa County, Alabama",01037,Rural,10.6,856,"3067 of 3143"
"Lafayette County, Arkansas",05073,Rural,10.6,479,"3068 of 3143"
"Liberty County, Texas",48291,Urban,10.6,6209,"3069 of 3143"
"Harlan County, Kentucky",21095,Rural,10.5,1955,"3070 of 3143"
"Turner County, Georgia",13287,Rural,10.5,635,"3071 of 3143"
